time, ennemy, ypos
3,2,400
5,2,400
7,2,400
8,2,200
8,2,400
8,2,600
10,2,200
10,2,300
10,2,400
10,2,500
10,2,600
10,2,700
14,1,200
14,1,400
14,1,600
16,1,200
16,1,400
16,1,600
21,1,100
21,1,200
21,1,300
21,1,400
21,1,500
21,1,600
21,1,700
22,2,150
22,2,260
22,2,350
22,2,450
22,2,550
22,2,650
22,2,750
25,3,102
25,3,302
25,3,502
26,3,152
26,3,352
26,3,552
29,2,202
29,2,402
29,2,602
30,2,262
30,2,452
30,2,650
31,3,100
32,3,200
33,3,300
34,3,400
35,3,500
36,3,600
37,3,700
38,3,600
39,3,500
40,3,400
41,3,300
42,3,200
43,3,100
47,4,400
